id,name,ABILITY1,ABILITY2,HIDDEN_ABILITY,TYPE1,TYPE2,HP,ATTACK,DEFENSE,SPECIAL_ATTACK,SPECIAL_DEFENSE,SPEED,TOTAL_STAT,GENERATION_NO
38,ninetales,flash-fire,none,drought,fire,none,73,76,75,81,100,100,505,1.0
39,jigglypuff,cute-charm,competitive,friend-guard,normal,fairy,115,45,20,45,25,20,270,1.0
40,wigglytuff,cute-charm,competitive,frisk,normal,fairy,140,70,45,85,50,45,435,1.0
41,zubat,inner-focus,none,infiltrator,poison,flying,40,45,35,30,40,55,245,1.0
42,golbat,inner-focus,none,infiltrator,poison,flying,75,80,70,65,75,90,455,1.0
43,oddish,chlorophyll,none,run-away,grass,poison,45,50,55,75,65,30,320,1.0
44,gloom,chlorophyll,none,stench,grass,poison,60,65,70,85,75,40,395,1.0
45,vileplume,chlorophyll,none,effect-spore,grass,poison,75,80,85,110,90,50,490,1.0
46,paras,effect-spore,dry-skin,damp,bug,grass,35,70,55,45,55,25,285,1.0
47,parasect,effect-spore,dry-skin,damp,bug,grass,60,95,80,60,80,30,405,1.0
48,venonat,compound-eyes,tinted-lens,run-away,bug,poison,60,55,50,40,55,45,305,1.0
49,venomoth,shield-dust,tinted-lens,wonder-skin,bug,poison,70,65,60,90,75,90,450,1.0
50,diglett,sand-veil,arena-trap,sand-force,ground,none,10,55,25,35,45,95,265,1.0
51,dugtrio,sand-veil,arena-trap,sand-force,ground,none,35,100,50,50,70,120,425,1.0
52,meowth,pickup,technician,unnerve,normal,none,40,45,35,40,40,90,290,1.0
53,persian,limber,technician,unnerve,normal,none,65,70,60,65,65,115,440,1.0
54,psyduck,damp,cloud-nine,swift-swim,water,none,50,52,48,65,50,55,320,1.0
55,golduck,damp,cloud-nine,swift-swim,water,none,80,82,78,95,80,85,500,1.0
56,mankey,vital-spirit,anger-point,defiant,fighting,none,40,80,35,35,45,70,305,1.0
57,primeape,vital-spirit,anger-point,defiant,fighting,none,65,105,60,60,70,95,455,1.0
58,growlithe,intimidate,flash-fire,justified,fire,none,55,70,45,70,50,60,350,1.0
59,arcanine,intimidate,flash-fire,justified,fire,none,90,110,80,100,80,95,555,1.0
60,poliwag,water-absorb,damp,swift-swim,water,none,40,50,40,40,40,90,300,1.0
61,poliwhirl,water-absorb,damp,swift-swim,water,none,65,65,65,50,50,90,385,1.0
62,poliwrath,water-absorb,damp,swift-swim,water,fighting,90,95,95,70,90,70,510,1.0
63,abra,synchronize,inner-focus,magic-guard,psychic,none,25,20,15,105,55,90,310,1.0
64,kadabra,synchronize,inner-focus,magic-guard,psychic,none,40,35,30,120,70,105,400,1.0
65,alakazam,synchronize,inner-focus,magic-guard,psychic,none,55,50,45,135,95,120,500,1.0
66,machop,guts,no-guard,steadfast,fighting,none,70,80,50,35,35,35,305,1.0
67,machoke,guts,no-guard,steadfast,fighting,none,80,100,70,50,60,45,405,1.0
68,machamp,guts,no-guard,steadfast,fighting,none,90,130,80,65,85,55,505,1.0
69,bellsprout,chlorophyll,none,gluttony,grass,poison,50,75,35,70,30,40,300,1.0
70,weepinbell,chlorophyll,none,gluttony,grass,poison,65,90,50,85,45,55,390,1.0
71,victreebel,chlorophyll,none,gluttony,grass,poison,80,105,65,100,70,70,490,1.0
72,tentacool,clear-body,liquid-ooze,rain-dish,water,poison,40,40,35,50,100,70,335,1.0
73,tentacruel,clear-body,liquid-ooze,rain-dish,water,poison,80,70,65,80,120,100,515,1.0
74,geodude,rock-head,sturdy,sand-veil,rock,ground,40,80,100,30,30,20,300,1.0
75,graveler,rock-head,sturdy,sand-veil,rock,ground,55,95,115,45,45,35,390,1.0
76,golem,rock-head,sturdy,sand-veil,rock,ground,80,120,130,55,65,45,495,1.0
77,ponyta,run-away,flash-fire,flame-body,fire,none,50,85,55,65,65,90,410,1.0
78,rapidash,run-away,flash-fire,flame-body,fire,none,65,100,70,80,80,105,500,1.0
79,slowpoke,oblivious,own-tempo,regenerator,water,psychic,90,65,65,40,40,15,315,1.0
80,slowbro,oblivious,own-tempo,regenerator,water,psychic,95,75,110,100,80,30,490,1.0
81,magnemite,magnet-pull,sturdy,analytic,electric,steel,25,35,70,95,55,45,325,1.0
82,magneton,magnet-pull,sturdy,analytic,electric,steel,50,60,95,120,70,70,465,1.0
83,farfetchd,keen-eye,inner-focus,defiant,normal,flying,52,90,55,58,62,60,377,1.0
84,doduo,run-away,early-bird,tangled-feet,normal,flying,35,85,45,35,35,75,310,1.0
85,dodrio,run-away,early-bird,tangled-feet,normal,flying,60,110,70,60,60,110,470,1.0
86,seel,thick-fat,hydration,ice-body,water,none,65,45,55,45,70,45,325,1.0
87,dewgong,thick-fat,hydration,ice-body,water,ice,90,70,80,70,95,70,475,1.0
88,grimer,stench,sticky-hold,poison-touch,poison,none,80,80,50,40,50,25,325,1.0
89,muk,stench,sticky-hold,poison-touch,poison,none,105,105,75,65,100,50,500,1.0
90,shellder,shell-armor,skill-link,overcoat,water,none,30,65,100,45,25,40,305,1.0
91,cloyster,shell-armor,skill-link,overcoat,water,ice,50,95,180,85,45,70,525,1.0
92,gastly,levitate,none,none,ghost,poison,30,35,30,100,35,80,310,1.0
93,haunter,levitate,none,none,ghost,poison,45,50,45,115,55,95,405,1.0
94,gengar,cursed-body,none,none,ghost,poison,60,65,60,130,75,110,500,1.0
95,onix,rock-head,sturdy,weak-armor,rock,ground,35,45,160,30,45,70,385,1.0
96,drowzee,insomnia,forewarn,inner-focus,psychic,none,60,48,45,43,90,42,328,1.0
97,hypno,insomnia,forewarn,inner-focus,psychic,none,85,73,70,73,115,67,483,1.0
98,krabby,hyper-cutter,shell-armor,sheer-force,water,none,30,105,90,25,25,50,325,1.0
99,kingler,hyper-cutter,shell-armor,sheer-force,water,none,55,130,115,50,50,75,475,1.0
100,voltorb,soundproof,static,aftermath,electric,none,40,30,50,55,55,100,330,1.0
101,electrode,soundproof,static,aftermath,electric,none,60,50,70,80,80,150,490,1.0
102,exeggcute,chlorophyll,none,harvest,grass,psychic,60,40,80,60,45,40,325,1.0
103,exeggutor,chlorophyll,none,harvest,grass,psychic,95,95,85,125,75,55,530,1.0
104,cubone,rock-head,lightning-rod,battle-armor,ground,none,50,50,95,40,50,35,320,1.0
105,marowak,rock-head,lightning-rod,battle-armor,ground,none,60,80,110,50,80,45,425,1.0
106,hitmonlee,limber,reckless,unburden,fighting,none,50,120,53,35,110,87,455,1.0
107,hitmonchan,keen-eye,iron-fist,inner-focus,fighting,none,50,105,79,35,110,76,455,1.0
108,lickitung,own-tempo,oblivious,cloud-nine,normal,none,90,55,75,60,75,30,385,1.0
109,koffing,levitate,none,none,poison,none,40,65,95,60,45,35,340,1.0
110,weezing,levitate,none,none,poison,none,65,90,120,85,70,60,490,1.0
111,rhyhorn,lightning-rod,rock-head,reckless,ground,rock,80,85,95,30,30,25,345,1.0
112,rhydon,lightning-rod,rock-head,reckless,ground,rock,105,130,120,45,45,40,485,1.0
113,chansey,natural-cure,serene-grace,healer,normal,none,250,5,5,35,105,50,450,1.0
114,tangela,chlorophyll,leaf-guard,regenerator,grass,none,65,55,115,100,40,60,435,1.0
115,kangaskhan,early-bird,scrappy,inner-focus,normal,none,105,95,80,40,80,90,490,1.0
116,horsea,swift-swim,sniper,damp,water,none,30,40,70,70,25,60,295,1.0
117,seadra,poison-point,sniper,damp,water,none,55,65,95,95,45,85,440,1.0
118,goldeen,swift-swim,water-veil,lightning-rod,water,none,45,67,60,35,50,63,320,1.0
119,seaking,swift-swim,water-veil,lightning-rod,water,none,80,92,65,65,80,68,450,1.0
120,staryu,illuminate,natural-cure,analytic,water,none,30,45,55,70,55,85,340,1.0
121,starmie,illuminate,natural-cure,analytic,water,psychic,60,75,85,100,85,115,520,1.0
122,mr-mime,soundproof,filter,technician,psychic,fairy,40,45,65,100,120,90,460,1.0
123,scyther,swarm,technician,steadfast,bug,flying,70,110,80,55,80,105,500,1.0
124,jynx,oblivious,forewarn,dry-skin,ice,psychic,65,50,35,115,95,95,455,1.0
125,electabuzz,static,none,vital-spirit,electric,none,65,83,57,95,85,105,490,1.0
126,magmar,flame-body,none,vital-spirit,fire,none,65,95,57,100,85,93,495,1.0
127,pinsir,hyper-cutter,mold-breaker,moxie,bug,none,65,125,100,55,70,85,500,1.0
128,tauros,intimidate,anger-point,sheer-force,normal,none,75,100,95,40,70,110,490,1.0
129,magikarp,swift-swim,none,rattled,water,none,20,10,55,15,20,80,200,1.0
130,gyarados,intimidate,none,moxie,water,flying,95,125,79,60,100,81,540,1.0
131,lapras,water-absorb,shell-armor,hydration,water,ice,130,85,80,85,95,60,535,1.0
132,ditto,limber,none,imposter,normal,none,48,48,48,48,48,48,288,1.0
133,eevee,run-away,adaptability,anticipation,normal,none,55,55,50,45,65,55,325,1.0
134,vaporeon,water-absorb,none,hydration,water,none,130,65,60,110,95,65,525,1.0
135,jolteon,volt-absorb,none,quick-feet,electric,none,65,65,60,110,95,130,525,1.0
136,flareon,flash-fire,none,guts,fire,none,65,130,60,95,110,65,525,1.0
137,porygon,trace,download,analytic,normal,none,65,60,70,85,75,40,395,1.0
138,omanyte,swift-swim,shell-armor,weak-armor,rock,water,35,40,100,90,55,35,355,1.0
139,omastar,swift-swim,shell-armor,weak-armor,rock,water,70,60,125,115,70,55,495,1.0
140,kabuto,swift-swim,battle-armor,weak-armor,rock,water,30,80,90,55,45,55,355,1.0
141,kabutops,swift-swim,battle-armor,weak-armor,rock,water,60,115,105,65,70,80,495,1.0
142,aerodactyl,rock-head,pressure,unnerve,rock,flying,80,105,65,60,75,130,515,1.0
143,snorlax,immunity,thick-fat,gluttony,normal,none,160,110,65,65,110,30,540,1.0
144,articuno,pressure,none,snow-cloak,ice,flying,90,85,100,95,125,85,580,1.0
145,zapdos,pressure,none,static,electric,flying,90,90,85,125,90,100,580,1.0
146,moltres,pressure,none,flame-body,fire,flying,90,100,90,125,85,90,580,1.0
147,dratini,shed-skin,none,marvel-scale,dragon,none,41,64,45,50,50,50,300,1.0
148,dragonair,shed-skin,none,marvel-scale,dragon,none,61,84,65,70,70,70,420,1.0
149,dragonite,inner-focus,none,multiscale,dragon,flying,91,134,95,100,100,80,600,1.0
150,mewtwo,pressure,none,unnerve,psychic,none,106,110,90,154,90,130,680,1.0
151,mew,synchronize,none,none,psychic,none,100,100,100,100,100,100,600,1.0
152,chikorita,overgrow,none,leaf-guard,grass,none,45,49,65,49,65,45,318,2.0
153,bayleef,overgrow,none,leaf-guard,grass,none,60,62,80,63,80,60,405,2.0
154,meganium,overgrow,none,leaf-guard,grass,none,80,82,100,83,100,80,525,2.0
155,cyndaquil,blaze,none,flash-fire,fire,none,39,52,43,60,50,65,309,2.0
156,quilava,blaze,none,flash-fire,fire,none,58,64,58,80,65,80,405,2.0
157,typhlosion,blaze,none,flash-fire,fire,none,78,84,78,109,85,100,534,2.0
158,totodile,torrent,none,sheer-force,water,none,50,65,64,44,48,43,314,2.0
159,croconaw,torrent,none,sheer-force,water,none,65,80,80,59,63,58,405,2.0
160,feraligatr,torrent,none,sheer-force,water,none,85,105,100,79,83,78,530,2.0
161,sentret,run-away,keen-eye,frisk,normal,none,35,46,34,35,45,20,215,2.0
162,furret,run-away,keen-eye,frisk,normal,none,85,76,64,45,55,90,415,2.0
163,hoothoot,insomnia,keen-eye,tinted-lens,normal,flying,60,30,30,36,56,50,262,2.0
164,noctowl,insomnia,keen-eye,tinted-lens,normal,flying,100,50,50,86,96,70,452,2.0
165,ledyba,swarm,early-bird,rattled,bug,flying,40,20,30,40,80,55,265,2.0
166,ledian,swarm,early-bird,iron-fist,bug,flying,55,35,50,55,110,85,390,2.0
167,spinarak,swarm,insomnia,sniper,bug,poison,40,60,40,40,40,30,250,2.0
168,ariados,swarm,insomnia,sniper,bug,poison,70,90,70,60,70,40,400,2.0
169,crobat,inner-focus,none,infiltrator,poison,flying,85,90,80,70,80,130,535,2.0
170,chinchou,volt-absorb,illuminate,water-absorb,water,electric,75,38,38,56,56,67,330,2.0
171,lanturn,volt-absorb,illuminate,water-absorb,water,electric,125,58,58,76,76,67,460,2.0
172,pichu,static,none,lightning-rod,electric,none,20,40,15,35,35,60,205,2.0
173,cleffa,cute-charm,magic-guard,friend-guard,fairy,none,50,25,28,45,55,15,218,2.0
174,igglybuff,cute-charm,competitive,friend-guard,normal,fairy,90,30,15,40,20,15,210,2.0
175,togepi,hustle,serene-grace,super-luck,fairy,none,35,20,65,40,65,20,245,2.0
176,togetic,hustle,serene-grace,super-luck,fairy,flying,55,40,85,80,105,40,405,2.0
177,natu,synchronize,early-bird,magic-bounce,psychic,flying,40,50,45,70,45,70,320,2.0
178,xatu,synchronize,early-bird,magic-bounce,psychic,flying,65,75,70,95,70,95,470,2.0
179,mareep,static,none,plus,electric,none,55,40,40,65,45,35,280,2.0
180,flaaffy,static,none,plus,electric,none,70,55,55,80,60,45,365,2.0
181,ampharos,static,none,plus,electric,none,90,75,85,115,90,55,510,2.0
182,bellossom,chlorophyll,none,healer,grass,none,75,80,95,90,100,50,490,2.0
183,marill,thick-fat,huge-power,sap-sipper,water,fairy,70,20,50,20,50,40,250,2.0
184,azumarill,thick-fat,huge-power,sap-sipper,water,fairy,100,50,80,60,80,50,420,2.0
185,sudowoodo,sturdy,rock-head,rattled,rock,none,70,100,115,30,65,30,410,2.0
186,politoed,water-absorb,damp,drizzle,water,none,90,75,75,90,100,70,500,2.0
187,hoppip,chlorophyll,leaf-guard,infiltrator,grass,flying,35,35,40,35,55,50,250,2.0
188,skiploom,chlorophyll,leaf-guard,infiltrator,grass,flying,55,45,50,45,65,80,340,2.0
189,jumpluff,chlorophyll,leaf-guard,infiltrator,grass,flying,75,55,70,55,95,110,460,2.0
190,aipom,run-away,pickup,skill-link,normal,none,55,70,55,40,55,85,360,2.0
191,sunkern,chlorophyll,solar-power,early-bird,grass,none,30,30,30,30,30,30,180,2.0
192,sunflora,chlorophyll,solar-power,early-bird,grass,none,75,75,55,105,85,30,425,2.0
193,yanma,speed-boost,compound-eyes,frisk,bug,flying,65,65,45,75,45,95,390,2.0
194,wooper,damp,water-absorb,unaware,water,ground,55,45,45,25,25,15,210,2.0
195,quagsire,damp,water-absorb,unaware,water,ground,95,85,85,65,65,35,430,2.0
196,espeon,synchronize,none,magic-bounce,psychic,none,65,65,60,130,95,110,525,2.0
197,umbreon,synchronize,none,inner-focus,dark,none,95,65,110,60,130,65,525,2.0
198,murkrow,insomnia,super-luck,prankster,dark,flying,60,85,42,85,42,91,405,2.0
199,slowking,oblivious,own-tempo,regenerator,water,psychic,95,75,80,100,110,30,490,2.0
200,misdreavus,levitate,none,none,ghost,none,60,60,60,85,85,85,435,2.0
201,unown,levitate,none,none,psychic,none,48,72,48,72,48,48,336,2.0
202,wobbuffet,shadow-tag,none,telepathy,psychic,none,190,33,58,33,58,33,405,2.0
203,girafarig,inner-focus,early-bird,sap-sipper,normal,psychic,70,80,65,90,65,85,455,2.0
204,pineco,sturdy,none,overcoat,bug,none,50,65,90,35,35,15,290,2.0
205,forretress,sturdy,none,overcoat,bug,steel,75,90,140,60,60,40,465,2.0
206,dunsparce,serene-grace,run-away,rattled,normal,none,100,70,70,65,65,45,415,2.0
207,gligar,hyper-cutter,sand-veil,immunity,ground,flying,65,75,105,35,65,85,430,2.0
208,steelix,rock-head,sturdy,sheer-force,steel,ground,75,85,200,55,65,30,510,2.0
209,snubbull,intimidate,run-away,rattled,fairy,none,60,80,50,40,40,30,300,2.0
210,granbull,intimidate,quick-feet,rattled,fairy,none,90,120,75,60,60,45,450,2.0
211,qwilfish,poison-point,swift-swim,intimidate,water,poison,65,95,85,55,55,85,440,2.0
212,scizor,swarm,technician,light-metal,bug,steel,70,130,100,55,80,65,500,2.0
213,shuckle,sturdy,gluttony,contrary,bug,rock,20,10,230,10,230,5,505,2.0
214,heracross,swarm,guts,moxie,bug,fighting,80,125,75,40,95,85,500,2.0
215,sneasel,inner-focus,keen-eye,pickpocket,dark,ice,55,95,55,35,75,115,430,2.0
216,teddiursa,pickup,quick-feet,honey-gather,normal,none,60,80,50,50,50,40,330,2.0
217,ursaring,guts,quick-feet,unnerve,normal,none,90,130,75,75,75,55,500,2.0
218,slugma,magma-armor,flame-body,weak-armor,fire,none,40,40,40,70,40,20,250,2.0
219,magcargo,magma-armor,flame-body,weak-armor,fire,rock,60,50,120,90,80,30,430,2.0
220,swinub,oblivious,snow-cloak,thick-fat,ice,ground,50,50,40,30,30,50,250,2.0
221,piloswine,oblivious,snow-cloak,thick-fat,ice,ground,100,100,80,60,60,50,450,2.0
222,corsola,hustle,natural-cure,regenerator,water,rock,65,55,95,65,95,35,410,2.0
223,remoraid,hustle,sniper,moody,water,none,35,65,35,65,35,65,300,2.0
224,octillery,suction-cups,sniper,moody,water,none,75,105,75,105,75,45,480,2.0
225,delibird,vital-spirit,hustle,insomnia,ice,flying,45,55,45,65,45,75,330,2.0
226,mantine,swift-swim,water-absorb,water-veil,water,flying,85,40,70,80,140,70,485,2.0
227,skarmory,keen-eye,sturdy,weak-armor,steel,flying,65,80,140,40,70,70,465,2.0
228,houndour,early-bird,flash-fire,unnerve,dark,fire,45,60,30,80,50,65,330,2.0
229,houndoom,early-bird,flash-fire,unnerve,dark,fire,75,90,50,110,80,95,500,2.0
230,kingdra,swift-swim,sniper,damp,water,dragon,75,95,95,95,95,85,540,2.0
231,phanpy,pickup,none,sand-veil,ground,none,90,60,60,40,40,40,330,2.0
232,donphan,sturdy,none,sand-veil,ground,none,90,120,120,60,60,50,500,2.0
233,porygon2,trace,download,analytic,normal,none,85,80,90,105,95,60,515,2.0
234,stantler,intimidate,frisk,sap-sipper,normal,none,73,95,62,85,65,85,465,2.0
235,smeargle,own-tempo,technician,moody,normal,none,55,20,35,20,45,75,250,2.0
236,tyrogue,guts,steadfast,vital-spirit,fighting,none,35,35,35,35,35,35,210,2.0
237,hitmontop,intimidate,technician,steadfast,fighting,none,50,95,95,35,110,70,455,2.0
238,smoochum,oblivious,forewarn,hydration,ice,psychic,45,30,15,85,65,65,305,2.0
239,elekid,static,none,vital-spirit,electric,none,45,63,37,65,55,95,360,2.0
240,magby,flame-body,none,vital-spirit,fire,none,45,75,37,70,55,83,365,2.0
241,miltank,thick-fat,scrappy,sap-sipper,normal,none,95,80,105,40,70,100,490,2.0
242,blissey,natural-cure,serene-grace,healer,normal,none,255,10,10,75,135,55,540,2.0
243,raikou,pressure,none,inner-focus,electric,none,90,85,75,115,100,115,580,2.0
244,entei,pressure,none,inner-focus,fire,none,115,115,85,90,75,100,580,2.0
245,suicune,pressure,none,inner-focus,water,none,100,75,115,90,115,85,580,2.0
246,larvitar,guts,none,sand-veil,rock,ground,50,64,50,45,50,41,300,2.0
247,pupitar,shed-skin,none,none,rock,ground,70,84,70,65,70,51,410,2.0
248,tyranitar,sand-stream,none,unnerve,rock,dark,100,134,110,95,100,61,600,2.0
249,lugia,pressure,none,multiscale,psychic,flying,106,90,130,90,154,110,680,2.0
250,ho-oh,pressure,none,regenerator,fire,flying,106,130,90,110,154,90,680,2.0
251,celebi,natural-cure,none,none,psychic,grass,100,100,100,100,100,100,600,2.0
252,treecko,overgrow,none,unburden,grass,none,40,45,35,65,55,70,310,3.0
253,grovyle,overgrow,none,unburden,grass,none,50,65,45,85,65,95,405,3.0
254,sceptile,overgrow,none,unburden,grass,none,70,85,65,105,85,120,530,3.0
255,torchic,blaze,none,speed-boost,fire,none,45,60,40,70,50,45,310,3.0
256,combusken,blaze,none,speed-boost,fire,fighting,60,85,60,85,60,55,405,3.0
257,blaziken,blaze,none,speed-boost,fire,fighting,80,120,70,110,70,80,530,3.0
258,mudkip,torrent,none,damp,water,none,50,70,50,50,50,40,310,3.0
259,marshtomp,torrent,none,damp,water,ground,70,85,70,60,70,50,405,3.0
260,swampert,torrent,none,damp,water,ground,100,110,90,85,90,60,535,3.0
261,poochyena,run-away,quick-feet,rattled,dark,none,35,55,35,30,30,35,220,3.0
262,mightyena,intimidate,quick-feet,moxie,dark,none,70,90,70,60,60,70,420,3.0
263,zigzagoon,pickup,gluttony,quick-feet,normal,none,38,30,41,30,41,60,240,3.0
264,linoone,pickup,gluttony,quick-feet,normal,none,78,70,61,50,61,100,420,3.0
265,wurmple,shield-dust,none,run-away,bug,none,45,45,35,20,30,20,195,3.0
266,silcoon,shed-skin,none,none,bug,none,50,35,55,25,25,15,205,3.0
267,beautifly,swarm,none,rivalry,bug,flying,60,70,50,100,50,65,395,3.0
268,cascoon,shed-skin,none,none,bug,none,50,35,55,25,25,15,205,3.0
269,dustox,shield-dust,none,compound-eyes,bug,poison,60,50,70,50,90,65,385,3.0
270,lotad,swift-swim,rain-dish,own-tempo,water,grass,40,30,30,40,50,30,220,3.0
271,lombre,swift-swim,rain-dish,own-tempo,water,grass,60,50,50,60,70,50,340,3.0
272,ludicolo,swift-swim,rain-dish,own-tempo,water,grass,80,70,70,90,100,70,480,3.0
273,seedot,chlorophyll,early-bird,pickpocket,grass,none,40,40,50,30,30,30,220,3.0
274,nuzleaf,chlorophyll,early-bird,pickpocket,grass,dark,70,70,40,60,40,60,340,3.0
275,shiftry,chlorophyll,early-bird,pickpocket,grass,dark,90,100,60,90,60,80,480,3.0
276,taillow,guts,none,scrappy,normal,flying,40,55,30,30,30,85,270,3.0
277,swellow,guts,none,scrappy,normal,flying,60,85,60,75,50,125,455,3.0
278,wingull,keen-eye,hydration,rain-dish,water,flying,40,30,30,55,30,85,270,3.0
279,pelipper,keen-eye,drizzle,rain-dish,water,flying,60,50,100,95,70,65,440,3.0
280,ralts,synchronize,trace,telepathy,psychic,fairy,28,25,25,45,35,40,198,3.0
281,kirlia,synchronize,trace,telepathy,psychic,fairy,38,35,35,65,55,50,278,3.0
282,gardevoir,synchronize,trace,telepathy,psychic,fairy,68,65,65,125,115,80,518,3.0
283,surskit,swift-swim,none,rain-dish,bug,water,40,30,32,50,52,65,269,3.0
284,masquerain,intimidate,none,unnerve,bug,flying,70,60,62,100,82,80,454,3.0
285,shroomish,effect-spore,poison-heal,quick-feet,grass,none,60,40,60,40,60,35,295,3.0
286,breloom,effect-spore,poison-heal,technician,grass,fighting,60,130,80,60,60,70,460,3.0
287,slakoth,truant,none,none,normal,none,60,60,60,35,35,30,280,3.0
288,vigoroth,vital-spirit,none,none,normal,none,80,80,80,55,55,90,440,3.0
289,slaking,truant,none,none,normal,none,150,160,100,95,65,100,670,3.0
290,nincada,compound-eyes,none,run-away,bug,ground,31,45,90,30,30,40,266,3.0
291,ninjask,speed-boost,none,infiltrator,bug,flying,61,90,45,50,50,160,456,3.0
292,shedinja,wonder-guard,none,none,bug,ghost,1,90,45,30,30,40,236,3.0
293,whismur,soundproof,none,rattled,normal,none,64,51,23,51,23,28,240,3.0
294,loudred,soundproof,none,scrappy,normal,none,84,71,43,71,43,48,360,3.0
295,exploud,soundproof,none,scrappy,normal,none,104,91,63,91,73,68,490,3.0
296,makuhita,thick-fat,guts,sheer-force,fighting,none,72,60,30,20,30,25,237,3.0
297,hariyama,thick-fat,guts,sheer-force,fighting,none,144,120,60,40,60,50,474,3.0
298,azurill,thick-fat,huge-power,sap-sipper,normal,fairy,50,20,40,20,40,20,190,3.0
299,nosepass,sturdy,magnet-pull,sand-force,rock,none,30,45,135,45,90,30,375,3.0
300,skitty,cute-charm,normalize,wonder-skin,normal,none,50,45,45,35,35,50,260,3.0
301,delcatty,cute-charm,normalize,wonder-skin,normal,none,70,65,65,55,55,90,400,3.0
302,sableye,keen-eye,stall,prankster,dark,ghost,50,75,75,65,65,50,380,3.0
303,mawile,hyper-cutter,intimidate,sheer-force,steel,fairy,50,85,85,55,55,50,380,3.0
304,aron,sturdy,rock-head,heavy-metal,steel,rock,50,70,100,40,40,30,330,3.0
305,lairon,sturdy,rock-head,heavy-metal,steel,rock,60,90,140,50,50,40,430,3.0
306,aggron,sturdy,rock-head,heavy-metal,steel,rock,70,110,180,60,60,50,530,3.0
307,meditite,pure-power,none,telepathy,fighting,psychic,30,40,55,40,55,60,280,3.0
308,medicham,pure-power,none,telepathy,fighting,psychic,60,60,75,60,75,80,410,3.0
309,electrike,static,lightning-rod,minus,electric,none,40,45,40,65,40,65,295,3.0
310,manectric,static,lightning-rod,minus,electric,none,70,75,60,105,60,105,475,3.0
